area_type,availability,location,size,total_sqft,bath,balcony,price
Carpet  Area,Ready To Move,Jaya Mahal layout,3 BHK,1650,3,3,175
Built-up  Area,Ready To Move,BSM Extension,2 BHK,840,2,2,27
Built-up  Area,Ready To Move,Jigani,2 BHK,914,2,2,47
Super built-up  Area,19-Mar,Hennur Road,3 BHK,1482,2,2,83.73
Super built-up  Area,17-Dec,Kundalahalli,3 BHK,1724,3,2,127
Super built-up  Area,Ready To Move,Vijinapura,3 BHK,1670,3,3,91.86
Super built-up  Area,Ready To Move,Banaswadi,2 BHK,1184,2,3,53
Super built-up  Area,Ready To Move,Kodigehaali,2 BHK,1200,2,1,55
Plot  Area,Ready To Move,TC Palaya,2 Bedroom,1200,2,0,65
Super built-up  Area,Ready To Move,Jigani,2 BHK,927,2,2,55
Super built-up  Area,Ready To Move,P&T Layout,2 BHK,1242,2,3,39.7
Built-up  Area,18-Aug,Electronic City Phase II,3 BHK,1220,3,1,35.23
Built-up  Area,Ready To Move,Electronic City,3 BHK,1360,2,1,75
Plot  Area,Ready To Move,Brookefield,4 Bedroom,2800,4,2,240
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1180,2,2,72
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1697,3,2,108
Super built-up  Area,Ready To Move,Yelahanka New Town,2 BHK,550,2,1,26
Super built-up  Area,Ready To Move,Hennur,2 BHK,1225,2,1,57
Super built-up  Area,Ready To Move,Byrasandra,3 BHK,1690,2,2,55
Plot  Area,18-Apr,SBM Colony,10 Bedroom,1660,10,,475
Super built-up  Area,Ready To Move,Veerannapalya,3 BHK,1488,3,,57
Built-up  Area,Ready To Move,Chowdeshwari Layout,3 BHK,1250,2,1,80
Super built-up  Area,Ready To Move,JP Nagar,1 BHK,1050,1,1,44
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,1027,2,2,44
Super built-up  Area,21-May,Kanakpura Road,3 BHK,1699,3,3,81.94
Built-up  Area,Ready To Move,Whitefield,2 BHK,1205,2,2,58
Plot  Area,Ready To Move,Mathikere Extension,4 Bedroom,712,2,1,67.5
Super built-up  Area,18-Feb,Horamavu Agara,2 BHK,950,2,3,39
Plot  Area,Ready To Move,TC Palaya,2 Bedroom,1200,2,0,70
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,1476,3,1,120
Built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,1070,2,1,55
Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,2160,4,2,172
Super built-up  Area,Ready To Move,Sector 2 HSR Layout,2 BHK,1296,2,1,75
Built-up  Area,Ready To Move,Chikkalasandra,2 Bedroom,1800,1,1,128
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1570,3,3,64.5
Super built-up  Area,Ready To Move,Koramangala,2 BHK,1300,2,3,110
Built-up  Area,Ready To Move,Sarjapur,4 BHK,1550,2,2,65
Super built-up  Area,Ready To Move,Electronic City,2 BHK,770,1,1,40
Built-up  Area,Ready To Move,Jalahalli,3 BHK,1870,3,,110
Plot  Area,Ready To Move,Anantapura,3 Bedroom,1650,4,,160
Super built-up  Area,Ready To Move,Domlur,3 BHK,1429,3,3,86
Super built-up  Area,17-Nov,Babusapalaya,3 BHK,1167,2,2,39.98
Super built-up  Area,18-May,Bommasandra,2 BHK,1035,2,1,41.73
Super built-up  Area,Ready To Move,Kengeri,3 BHK,1188,2,2,38
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,5 Bedroom,1200,4,2,285
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,1574Sq. Yards,3,1,76
Super built-up  Area,Ready To Move,Nagarbhavi,1 BHK,884,2,2,36
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,1194,2,2,46
Super built-up  Area,19-Dec,Hoodi,2 BHK,1026,2,1,60.87
Plot  Area,Ready To Move,Shivaji Nagar,7 Bedroom,1400,6,3,200
Super built-up  Area,Ready To Move,Kaikondrahalli,2 BHK,1115,2,2,50
Plot  Area,Ready To Move,Hebbal Kempapura,2 Bedroom,1200,2,1,125
Super built-up  Area,18-Dec,Old Airport Road,4 BHK,2690,4,3,191
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,975,2,1,58
Plot  Area,Ready To Move,Hosa Road,3 Bedroom,675,3,2,72.5
Super built-up  Area,Ready To Move,Chamrajpet,4 BHK,1900,2,1,170
Plot  Area,17-Dec,Banashankari,3 Bedroom,600,3,1,100
Super built-up  Area,Ready To Move,OMBR Layout,2 BHK,1101,2,2,65.5
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1700,3,3,135
Super built-up  Area,Ready To Move,Whitefield,4 BHK,3606,4,2,312
Super built-up  Area,Ready To Move,Padmanabhanagar,2 BHK,1258,2,2,115
Carpet  Area,Ready To Move,Kanakpura Road,3 BHK,1560,3,,92
Super built-up  Area,Ready To Move,Old Madras Road,4 BHK,3630,6,1,195
Built-up  Area,Ready To Move,JP Nagar,3 BHK,2000,3,2,250
Super built-up  Area,19-Jun,Hebbal,4 BHK,2790,4,3,198
Super built-up  Area,20-Jan,Badavala Nagar,3 BHK,1494,2,2,94.55
Super built-up  Area,18-Oct,Hennur Road,3 BHK,1482,2,1,87
Super built-up  Area,Ready To Move,Rustam Bagh Layout,2 BHK,800,2,3,50
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1185,2,2,47.39
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,1100,2,2,71.5
Built-up  Area,Ready To Move,NRI Layout,2 Bedroom,1300,2,0,120
Super built-up  Area,Ready To Move,4th Block Koramangala,2 BHK,1225,2,2,150
Super built-up  Area,Ready To Move,Hulimavu,3 BHK,1758,3,2,65
Super built-up  Area,Ready To Move,Banaswadi,2 BHK,1145,2,2,55
Built-up  Area,Ready To Move,Hormavu,2 BHK,1180,2,2,50
Super built-up  Area,Ready To Move,Belatur,2 BHK,1260,2,2,58
Super built-up  Area,19-Jun,Yelahanka,4 BHK,3450 - 3472,,,173
Built-up  Area,Ready To Move,Arekere,2 BHK,1190,2,2,55
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1691,3,2,119
Super built-up  Area,18-Dec,Lalbagh Road,4 BHK,3675,4,3,367
Built-up  Area,Ready To Move,Frazer Town,3 BHK,1305,3,,95.45
Super built-up  Area,18-Apr,Basavangudi,3 BHK,2337,4,3,292
Plot  Area,Ready To Move,Kamakya Layout,2 Bedroom,1200,2,2,150
Super built-up  Area,20-Dec,Domlur,2 BHK,1206,2,1,217
Plot  Area,Ready To Move,Vignana Nagar,5 Bedroom,1350,4,1,130
Super built-up  Area,Ready To Move,Kogilu,2 BHK,1140,2,1,50.66
Super built-up  Area,Ready To Move,Nallurhalli,2 BHK,1250,2,2,65
Plot  Area,Ready To Move,Kamakshipalya,3 Bedroom,600,2,1,60
Super built-up  Area,18-Aug,Chinnapanahalli,2 BHK,1225,2,2,48
Built-up  Area,Ready To Move,Kereguddadahalli,2 BHK,800,2,2,28
Super built-up  Area,Ready To Move,Jalahalli East,2 BHK,1020,2,1,58
Built-up  Area,Ready To Move,TC Palaya,4 Bedroom,2100,2,1,50
Plot  Area,Ready To Move,Lingarajapuram,2 Bedroom,1350,2,1,80
Super built-up  Area,Ready To Move,Anekal,2 BHK,925,2,1,40
Built-up  Area,Ready To Move,Yelachenahalli,4 Bedroom,1800,3,1,220
Built-up  Area,Ready To Move,3rd Block HBR Layout,3 Bedroom,2000,3,1,100
Built-up  Area,Ready To Move,Frazer Town,3 BHK,1510,2,1,75
Plot  Area,Ready To Move,Kasavanhalli,5 Bedroom,5800,7,,1200
Super built-up  Area,Ready To Move,Laxmi Sagar Layout,3 BHK,1614,3,1,110
Plot  Area,Ready To Move,Yeshwanthpur,3 Bedroom,682,2,1,130
Plot  Area,Ready To Move,Gottigere,2 Bedroom,1200,2,0,95
Plot  Area,Ready To Move,TC Palaya,2 Bedroom,900,2,0,55
Built-up  Area,Ready To Move,Bommenahalli,4 Bedroom,1632,3,0,145
Super built-up  Area,Ready To Move,OMBR Layout,2 BHK,1041,2,2,65.5
Built-up  Area,Ready To Move,7th Phase JP Nagar,6 BHK,5080,7,,450
Super built-up  Area,18-Jul,Bannerghatta,4 BHK,3012,6,2,250
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,1530,3,2,74.5
Super built-up  Area,Ready To Move,Sector 2 HSR Layout,3 BHK,1450,2,2,135
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,1200,2,2,75
Plot  Area,Ready To Move,Sahakara Nagar,4 Bedroom,1200,4,,130
Super built-up  Area,Ready To Move,Hosur Road,3 BHK,1508,2,1,110
Built-up  Area,Ready To Move,New Gurappana Palya,7 BHK,600,7,3,106
Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,2 BHK,1188,2,3,73
Super built-up  Area,18-May,Old Airport Road,4 BHK,2690,4,3,199
Super built-up  Area,Ready To Move,Harlur,2 BHK,1174,2,1,76
Super built-up  Area,19-Dec,Old Madras Road,3 BHK,1350,3,1,58.99
Super built-up  Area,Ready To Move,Frazer Town,3 BHK,1870,3,3,185
Super built-up  Area,18-Jun,Kengeri Satellite Town,2 BHK,1072,2,1,25
Plot  Area,Ready To Move,Nelamangala,3 Bedroom,52272,2,1,140
Super built-up  Area,18-Nov,Kengeri,2 BHK,726,2,1,31
Super built-up  Area,Ready To Move,Hosur Road,2 BHK,1345,2,2,106
Super built-up  Area,Ready To Move,Begur Road,2 BHK,1200,2,2,45
Built-up  Area,Ready To Move,Nagavarapalya,2 BHK,980,2,0,37
Super built-up  Area,Ready To Move,Hormavu,2 BHK,1050,2,1,77
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,993,2,1,39.71
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1300,2,2,52
Super built-up  Area,Ready To Move,Vittasandra,3 BHK,1743,3,2,85
Plot  Area,Ready To Move,Whitefield,4 Bedroom,1204,4,1,125
Plot  Area,Ready To Move,Hormavu,2 Bedroom,1200,2,0,67
Super built-up  Area,Ready To Move,2nd Block Hrbr Layout,3 BHK,1480,3,2,90
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,950,2,2,32.5
Built-up  Area,Ready To Move,Domlur,1 BHK,640,1,0,55
Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,972,2,1,44
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,1840,3,3,98
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1128,2,1,64
Plot  Area,Ready To Move,Hongasandra,2 Bedroom,680,2,0,42
Plot  Area,Ready To Move,Harappanahalli,2 Bedroom,2400,2,1,95
Built-up  Area,Ready To Move,Basapura,2 BHK,1045,2,2,42
Built-up  Area,Ready To Move,Roopena Agrahara,2 BHK,955,2,3,53.55
Super built-up  Area,Ready To Move,Doddakallasandra,3 BHK,1360,2,2,54.39
Super built-up  Area,Ready To Move,BTM Layout,2 BHK,1150,2,2,63
Built-up  Area,19-Mar,Hennur Road,4 Bedroom,3450,4,3,294
Super built-up  Area,18-Oct,Chennammana Kere,2 BHK,1115,2,2,56.87
Super built-up  Area,Ready To Move,Jigani,2 BHK,920,2,2,46
Super built-up  Area,18-Jun,Bommasandra Industrial Area,2 BHK,1030,2,1,41
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1564,3,1,101
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,1045,2,1,45
Plot  Area,Ready To Move,Hegde Nagar,4 Bedroom,1200,4,1,83
Built-up  Area,Ready To Move,Subramanyapura,2 BHK,1277,2,2,55
Super built-up  Area,Ready To Move,Kanaka Nagar,3 BHK,2479.13,3,1,215
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1846,3,2,140
Built-up  Area,Ready To Move,Tasker Town,2 BHK,1100,2,0,106
Super built-up  Area,Ready To Move,Govindpura,3 BHK,1690,3,,75
Plot  Area,17-Jul,Hormavu,2 Bedroom,1200,3,0,70
Built-up  Area,Ready To Move,Yelahanka,4 Bedroom,3042,4,0,131
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,1640,3,3,223
Built-up  Area,19-Mar,NR Colony,2 BHK,1068,2,1,40.05
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,1135,2,2,58
Super built-up  Area,Ready To Move,Agara Village,3 BHK,1925,3,2,120
Super built-up  Area,Ready To Move,Begur Road,3 BHK,1615,3,2,60
Super built-up  Area,Ready To Move,Shettigere,1 BHK,650,1,1,26
Plot  Area,Ready To Move,Chikkasandra,9 Bedroom,1200,9,3,120
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,1150,2,3,42
Plot  Area,Ready To Move,Kothannur,6 Bedroom,930,6,1,135
Super built-up  Area,18-Mar,Kenchanehalli R R Nagar,3 BHK,1410,2,2,45.12
Built-up  Area,Ready To Move,6th Phase JP Nagar,3 Bedroom,600,2,0,100
Super built-up  Area,18-Apr,Kumara Park,3 BHK,2000,3,3,207
Super built-up  Area,Ready To Move,Tumkur Road,3 BHK,1354,3,1,90
Plot  Area,Ready To Move,BEL Road,2 Bedroom,1050,2,0,110
Built-up  Area,Ready To Move,Arekere,1 BHK,600,1,1,28
Plot  Area,Ready To Move,Varthur,4 Bedroom,1320,2,1,110
Super built-up  Area,18-May,Koramangala,3 BHK,1600,3,2,88
Built-up  Area,Ready To Move,Kanakpura Road,4 Bedroom,3500,6,2,225
Super built-up  Area,Ready To Move,GM Palaya,2 BHK,1000,2,1,36
Super built-up  Area,Ready To Move,Byagadadhenahalli,3 BHK,1130,3,1,38
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,1238,2,1,67
Super built-up  Area,Ready To Move,Ashwathnagar,3 BHK,2204,2,3,305
Plot  Area,Ready To Move,KR Puram,8 Bedroom,1200,12,,110
Super built-up  Area,18-Apr,Kudlu Gate,3 BHK,1364,2,3,46.38
Built-up  Area,Ready To Move,Srinivasa Nagar,2 BHK,900,2,1,45
Super built-up  Area,Ready To Move,Gubbalala,3 BHK,1745,3,2,104
Super built-up  Area,Ready To Move,Kogilu,2 BHK,1200,2,1,53.33
Super built-up  Area,Ready To Move,Kanakapura,2 BHK,1020,2,1,42.83
Super built-up  Area,18-Dec,Banashankari Stage III,3 BHK,1650,3,2,118
Super built-up  Area,Ready To Move,Doddabommasandra,3 BHK,1550,2,3,70
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1440,2,2,60
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,3 BHK,1329,2,2,45.95
Super built-up  Area,Ready To Move,Maruthi Layout,2 BHK,916,2,1,42
Super built-up  Area,Ready To Move,Hulimavu,1 BHK,688,1,2,50
Super built-up  Area,Ready To Move,Sree Narayana Nagar,3 BHK,1358,3,3,50
Super built-up  Area,19-Jul,Kanakpura Road,2 BHK,1331,2,1,107
Super built-up  Area,Ready To Move,Malleshwaram,1 BHK,686,1,1,62.5
Super built-up  Area,Ready To Move,Hoodi,2 BHK,1050,2,2,50
Super built-up  Area,Ready To Move,Talaghattapura,3 BHK,2106,3,2,126
Super built-up  Area,18-Jul,Bhoganhalli,3 BHK,1718,3,2,90.2
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,1530,3,2,57
Super built-up  Area,Ready To Move,5th Block Hbr Layout,2 BHK,1206,2,2,56
Built-up  Area,Ready To Move,Hebbal,2 BHK,1075,2,3,52
Plot  Area,18-Dec,Sarjapur  Road,3 Bedroom,1200,3,1,95
Super built-up  Area,18-Dec,Tunganagara,3 BHK,1936,2,2,54.21
Super built-up  Area,Ready To Move,Nagavara,4 BHK,2172.65,3,3,120
Super built-up  Area,Ready To Move,Sahakara Nagar,3 BHK,1100,2,2,75
Plot  Area,Ready To Move,BTM 2nd Stage,3 Bedroom,1260,5,1,185
Plot  Area,Ready To Move,Hongasandra,8 Bedroom,990,12,0,120
Plot  Area,Ready To Move,Jalahalli East,3 Bedroom,800,2,1,80
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1117,2,3,29.99
Built-up  Area,Ready To Move,Remco Bhel Layout,3 BHK,1685,2,1,110
Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,740,2,1,37
Plot  Area,Ready To Move,Chamrajpet,4 Bedroom,1080,4,2,250
Plot  Area,Ready To Move,Magadi Road,4 Bedroom,1500,2,2,93
Super built-up  Area,Ready To Move,Banashankari,3 BHK,1800,3,2,115
Super built-up  Area,Ready To Move,Yelachenahalli,3 BHK,1700,3,2,130
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,850,2,2,37.93
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,1891,3,1,139
Built-up  Area,Ready To Move,Jalahalli,2 BHK,1400,1,1,80
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,1172,2,2,82
Super built-up  Area,18-May,Electronic City Phase II,3 BHK,1400,2,2,40.43
Built-up  Area,Ready To Move,Sonnenahalli,2 BHK,896,2,1,43.75
Super built-up  Area,20-Jun,Vijayanagar,2 BHK,1180,2,2,65
Plot  Area,Ready To Move,Basaveshwara Nagar,7 Bedroom,2460,7,1,350
Built-up  Area,Ready To Move,Chokkasandra,2 BHK,850,2,1,33
Super built-up  Area,19-Oct,Anekal,1 BHK,530,1,1,18
Super built-up  Area,18-Jul,2nd Block Hrbr Layout,3 BHK,1550,3,3,110
Super built-up  Area,19-Dec,Kanakapura,3 BHK,1699,3,3,97
Super built-up  Area,17-Oct,Bellandur,4 BHK,2025,4,3,109
Super built-up  Area,18-Jun,Ananth Nagar,1 BHK,500,2,2,14
